id,text
001a8263cce75994d7c7c7d031398ff9e5774db49f31cd64ce0bcb9e36d6aa13,Carbon tax is not a comprehensive solution to pollution.
003e09e62ba60b1de5465ff4ee7ade70fa70f2d961c59879b90b5fbd6d0ea372,Information-gatherers can be audited to ensure they handle personal information according to regulations.
004ef7f1cf78049083d1f4813b2cb66d2dad553bf3cf99acb15c734ac29ecc34,"To be a good response to mitigating climate change, nuclear power in Australia must enable us to reduce CO2 emissions by 40% by 2020 and by 90% by 2050."
00561286ab802618262a781682514d3c401e5c56951820e0217d18204f0f3f4a,Current housing debt levels are excessive
0071fd19d029f3390af00613bac8aa0028b7bc440c336a980192dff444f8153a,resource efficiency results in economic efficiency
0094c2a1e2c029f65d5eb5a6a67d9b7d8d19f959979677c95f8d39f24a97b6a1,"The average young person, by virtue of how many more years they will live, has more invested in the consequences of today's political decisions than an older person."
00a1056aeb6e216d3a8a5a503a8a80a5304a7959ce3b88f01011ebedb67866f2,"Heterosexual couples who adopt, use artificial insemination or surrogates, etc., are not denied married status."
00ad42d4db0c6fcccfd92f83312d9f34db47cce13c5d98bb38d93bdfdbb3baa7,Adults of the same gender cannot marry.
00d1589c08712c5a173fb6c850de40e32cf298121100ebbae9f86bc683b86134,Popular arguments doesn't imply they are true.
00f8d7e317dcf5932b345c381504455aea0760cc2837754d10e6afc9cf7e2893,"If something is sufficiently difficult, it's effectively impossible."
01111a614168ce1ec3550280f26eacc3cbae0f1418b8f12d92f054a75fea5757,"Forcing cigarette sales into the black market will reduce regulatory and advertising overheads and lead to a cheaper product without reduction in quality. An un-regulated black-market economy will lead to greater choice, prices that more accurately reflect the cost of production, and more profit staying in the local economy rather than being sent off shore to global tobacco companies."
0128fbed59186fa69a870207eab4080c7ae553d6ce23359298d3fc44c5f1f942,http://games.yahoo.com/game/ultimate-chess-flash.html
0137d12e2c7047a33fb817a077ebc98f4b1a52462b4bf96f30dc6d8117b8a9fd,Mariage exists in non-christian cultures.
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,The sale of cigarettes should be banned for anyone born after the year 2000.
01712820cad9a0d8d77b62831485cd7d93b47624a83e91d3d5c3d0b1501e3b49,"Withholding marriage from adults of opposite genders constitutes ""witholding marriage""."
01ac4a55588d722a58b711939d89692b2066f39ed12992b42a449cac8a3af55c,It is not clear that a marriage will confer protection to a child beyond that of a stable relationship.
01d2c8bae3373b4f0da94fe03adad30311aae7fbaa48e91d465049836a201037,"""Homosexuality is an inherent neurosis"" is a factually incorrect medical claim."
01d79c38877fafd4d7453ceaf600562eb6a4e41e72611cfb4fe808a10cd1a8be,This looks like trolling.
01dbd5de7926878619b921f2bf83647708229a90b788fab6142cf16c13652ae3,"Yes, parks are only for strolling in and admiring the flowers."
021f9cd3095ba03cb098099f9263318b7371b36ab29f64c221fe2ed80de2ada6,"It is not clear that organised religion has a small proportion of engaged/intelligent people. Indeed, it seems as if a religions success is at least somewhat related to the engagement and participation of a broad ""base"" of supporters."
0251491777e0532b90f6f9d45d07af9737aaf7362926059738040b3b4fd9401b,"Restricting marriage to consenting adults does not constitute ""witholding marriage."""
0254dff88dee247ce3cfa881a863720ccf91e61f8800142a6b0f4c1457ae2ef2,Something that is not currently legal is bad and shoudn't be legalised.
0258e302ebab3d495f99f2cbdba264fdc3da4f35cf16856095b67a920a34badb,A carbon tax would cause bureaucratic waste
0259e1261e61f6cc319293e915e356c5e06450e364df63f4a2f56bbb01fa0d16,Sorting arguments makes good arguments more visible.
0274698de0718a1813f9def467f2d1cd2632325fc7f09921ab5ddb3dfef143c3,Aid is used to ensure Israeli military supremacy in the region
028876094ba1c7f61a3cc0a1b75d235875ed127bad4bd57d1f54bd1dde0c7c3e,Deleted arguments
0292723399dd8fdee56259361bb55ef6ab57d42c7c0d0114922eb9d5a05d90b9,Carbon emitters should better integrate into society.
02d02e524de213a595e33941ceb1b013614d70c7b5bac70c723ec07edefbd527,Using larger quantities of a pesticide of a different type means greater harm.
02f2520912916890acaec6bc28d3006d4c35b4f9d74a53cf34c4728dd3ca1264,We all breathe out carbon
02f43254e4cd5a4b68f0d631428d15ca1f0a998c5d04d62b724540b99ae590dd,"legalisation will give drug cartels a foothold in national economies, while still contributing to widespread misery through more harmful drug trade."
031815bfe0a8fc740eca7a00001a89eff2edc402e778843fb74148a73cda79a6,"It is possible for organisations to evolve and change from within, without necessarily succumbing to external predators."
034af0b2c7b0a532b41d81addeddfb3aac3ace624d4716bbf6a3675165db6a76,Australia should implement a national beverage container deposit scheme.
035f479bf81f4b79292da0454b100948983a00f79f24df4d2d3128aeaee685ff,People do not wish to share pieces of clothing even when they are clean and in good condition.
0375e1543e160d9cece66b128425eb63bf707206961fa5a2881619a43fb2741d,"It is possible to make a meaningful and significant contribution to the political process with a simple knowledge of the prevailing conditions ""on the street"", simple knowledge and experience that many members of the political elite lack."
039a441b23038000c15e3aea3b96b8c2bbdbf0030be799709800ebf93e679214,A carbon tax allows industry to decide what techniques they can employ to reduce carbon emissions and do the cost benefit analysis themselves.
03b69dfd0d2f5d4b4287651991b5945a5366c7aa810406df1a305fcdaf90b11f,Requiring helmets makes casual self-service bike hire impractical
03c9700c9d1caeec28df01e88a1e903bed2e6888e688af65c190ffcb99b5df11,Marijuana use has been demonstrated to be more damaging to young people and have little permanent affect on older people
044976251d091a908dd08fed3de6c6315a3f2403be517036cac1c1f6e9ff9fa1,"People share go karting, cycling, or rock climbing helmets."
0470c9d53873918697e98f7a1a7310ce895c1faf277d1bd4cf4a6e9c0626916b,"All sports with ""Ultimate"" in the name are dangerous"
04986b198deb2fd0ac988690a2be3b287b0f227c6f0099917f5b8e9a9d96209c,"Weston Park is for swimming, cycling and barbecuing"
049d0431e8b45ab5d65f05d5663fa86e90f536f7c1e35296bf292b44f91f932f,The rate of energy consumption is not a direct indicator of economic progress.
04bef6227fc242768b0e7eed6f54f529d53f70a72a7574f185797c75371d2b58,"Marriage as an arbitrary ceremony in the modern world should not be withheld as doing so serves no positive purpose, while allowing same sex marriage will benefit society in the areas of health, community and financial revenue."
04dc6434965322fd1c50262b2a39dfba8e8d5d99cbfbd754f792f96f156016e6,The difference in XY and XX chromosome produces physiological differences.
0523c2c031b4d06cedfa9bc74d67c0a11a2bbd9b9fa1b23cb73aed8f3681b130,A telephone call provides higher bandwidth and more effective information dissemination than documentary or textual information transmission.
05aecd517846f6c1b0cda119491a3cffbbeacd4af41bc6e12dec041728656fd7,Making bicycle helmets optional on minor roads would help make casual bike hire practical.
05d01673645361cdcb7475a1b5cc076d1f09e0128f28f6925d04d1ad18ddfc6e,Nuclear power provides a reasonable alternative to coal based power
0617741dda237b9dd582ee5124cffa07f3b5397797d92938158bbc17ded5cc3d,"Marriages provide protection, especially for mothers, against single parenthood due to accidental pregnancies"
062f54bd4ceeae054aa343215e79930cda226efc540e22e1320df87bd6949c81,Fingerprints provide stronger non-repudiation than passwords.
06354699c30ae120754f6d53762ba021b3332c75f00e28e7e1b347a7f431567d,"The claims against Julian Assange should be assessed under English law, not that of Sweden where the alleged events took place."
066b1543459c75969da6340b4fb3fc485db140e19c95a8af5294a3ff34ead769,"Since both homosexual and heterosexual adults can marry an unrelated, unmarried, consenting adult of opposite gender if they themselves are unmarried there is no discrimination."
067485d2e220e44445ee4d4d6094bbbbb0f68192697e1619023f7ab11ea0cb78,Countries in the euro zone cannot control the monetary policy of the European Central Bank.
06783be7d18b108d1150450acdd7326eb768b271bd1177f405c3b228b845f4ae,"For a corrupted government, it is easier to increase inflation that to reduce expenses"
0682f1d915056c93d51974854504b0fc19211121fd7462df9cb50fbf77fd6257,People must be fully informed in order to correctly judge personal risk
06a2f46b4f3924ec33cf3cb5ebdda767bc186621270829b611993c038d65fc38,Biometric authentication systems must be robust against future attacks as well as current attacks.
06bb124235d4a9e4a6306bb7c0d3df011c59d70fa08f1082592bb7f7a16213db,There are immense practical difficulties in removing marriage as a legal institution
06c1ac4fc4087c76b5c4b0673b29d7b58bb94bb542efc97496ebf4819be9eb41,"No harm would result if life became extinct, when humanity recognizes that procreation is unethical and decides to go extinct voluntarily by not procreating anymore. On the other side it is almost guaranteed that of the billion people who would otherwise be born many will experience horrors on the scale of Auschwitz and Ruwanda, wars, famine, illness and everyone of them will die."
06cacb49a4259929807ed028cdad5a989015869952f64e7896f6561f6f8d401d,Any carbon tax would have negative consequences for the economy.
06cae369e75300c62a143b062fa3fe40f9f9ce94f8d573abab6f92026f1d1f15,"Italy should work to remain in the euro zone, even if this requires to drop some privileges"
06d70e3f57c1119a41bbdd2b409fd4dac41a8721b389f8238413bd4a681b56aa,Carbon emissions can be taxed
06fd48efe7d0593dccd590e1ea8896d832b82daf32371c9610570453308d552a,Every person should be able to access recreational drugs if they so choose.
071729f50e76d12a09785b8f85caa3f671645f334c1718164f724efb7c08b156,Using any given biometric to authenticate to one party gives that party the information needed to impersonate the user to any other party using the same biometric for authentication.
072d666636b0acf1b4e826365d08b1b41e03c334e1bd45c4f626670aca3fb99b,The amount charged by a carbon tax will be determined by politics
0732bf1ad498cf8ee6285ef10e2da05e0f2cfa4f99da9eeadcfeeac0d72a8752,Larger economies produce more carbon emissions than smaller economies
074888b9782120c8be38a1d898b9229cfda85dd7aaf2c3d1d9b17519a113d682,Changes in climate bring natural disasters and drought that would be expensive to mitigate.
07558c3f11933bdce7a7dae77985331bacd7dd291f61122fa133cb33161df7ae,Ultimate frisbee should be banned on public playing fields.
077b33dabe82d31c47e5ebe4072a60ce4c5f64389f48fa9e5c1b0f49340673c1,"Nuclear power does not have a good safety record in Fukushima, Japan"
078b90637cd4b8069234e528f71c88aa78986497da8adfd277020fcdc06b36d7,"Nuclear power is safer (by deaths per terawatt-hour generated) than coal, oil, gas, hydro, wind and solar."
07c325bef00916103771b740685020a46476e1c2b15f98bb56e61b65bdace237,"I am coerced to pay taxes nder pain of imprisonment, garnishment of wages, and/or forfeiture of my possessions."
0815d454f3c652e7208a8602e71718a901e3a82007dff99482f84d419303201e,A homosexual relationship harms no one.
084c4406392e03e4ddaa8a19209e294766e11c94d7a1befd537ae687b8fe25e2,Organised crime requires high revenue to persist.
086342174eed4659e058784efa47485d013983089db4a51ac836f8e701727da7,"If people smoke Marijuana without restraint, their nation will fall apart."
087661d52c1c5a1e2c66da52011f1177b4066602a4c332099d918027d91d3f30,Just because a method exists does not mean it is the best method.
089d8a4ea20d09448e9ae0473c5b22a7b07ef20614d8775ebdc53564e0a88d83,The government has an interest in encouraging home ownership.
08e00f3917d75ed3d83a91b5e602c203121e541cfaabdde77e636cf7781e9205,The major parties are an artefact of the present political system.
08e5bf960a2f3d5efae6e172e9b995a0023352706c95730ed364b48d9482db47,"Folding bicycle helmets are coming onto the market, which are more portable: http://www.ulule.com/overade/"
092dd93a281b586e15070b6700a803f823c33982a93628e287dc517149dd7460,Theocracies are the correct way to govern a body of people.
093f78be894c8cfa6a85b6296522353822164be01b6f199fad88e248279de14d,Most citizens who make above a certain income level pay taxes.
09425cb536883f851b71f26350bc24ef03a30e784d7b4a8e6856691e73462511,"marriage is a fact of human existence that pre-exists governments, and cannot be arbitrarily defined to mean something new"
0965369268aaa9ca972f0cc41f6c0e7eb95b0753e8e9d8cffca4d1cfb77fdbd1,sdsdfsdfsdfsdfsdf
09ba1f0715a9d10a25055d728a6508115e8b105c2d7559bfa6a3979f3a87e47f,The implied proposition does not follow.
09eb6fc8a00ee5ef51a46f2e874159dea3caff28ebbeebe6befd4c5a74aaefb9,A Carbon tax can be perfectly applied
09fb7fdfb82a9f1531bce0f71e35451825f650ee74bdc1a8b660d11d928701dd,"While the govt does not stop you from privately declaring that you are married to your car and your dog, this doesn't matter other than in your mind."
0a3b0303086d8219b0601721228f0c7df41b2b14d94b7cfff91bf20a1b0cb7d0,"To claim discrimination, you would have to show that a law unfairly privileges or punishes one group over another."
0a538701f95beb0114c8233053737b5b7f8308bc18cc7def0cb32f4059a90ab5,Shared bike helmets can be kept clean and in good condition
0a5bec8b8ddd22b22f14bd25f89dcb275230b7e0e9a1faa9154c61991ed8cf42,Someone not closely related is just one of many restrictions enforced by unnecessary government regulation.
0a668ee18396317e43802b07e0a65158d141c77defe4b2027ec9ac08d017187c,IQ matters
0a87aa290769fb5963025ad94c1a4fb096e66d35eb0bf9b034eb9b9123839996,Marriage exists in non-Christian cultures.
0aad6ef47bdb5f2896704170070d55ccc819aebe3468e2bf517dfc5fb363901b,Many constructive and admirable pursuits have no explicit legal authorization.
0ab78e62689734f9d69e947879164a6124c61e521b4f03968cb3bfec8c06ec1f,Video conferencing provides higher bandwidth and more effective information dissemination than a telephone call.
0abf13744270417909b34ebb14583cf7fc2f99c03794dda9906b4662c4ec8419,"""Perverse"" means ""unacceptable"""
0ace702643e382d35b5a18b20136b1cb201d2e3168caf3042452a4214fed5f82,Legalizing same-sex marriage would be socially beneficial
0adda227397210abad3381f5e43c97fdfffc5ea26bd1facdbd3f2414d1249d4b,"Civil partnerships (or however you wish to name it) is a far more appropriate way to formalise and legalise the union of a same sex couple, and for that matter a heterosexual couple that are not Christians"
0af4dab17c41f1da488c638a9b28958dc350a9ef60bf11999b93986cd60a3c18,The customers of existing bike hire businesses are casual cyclists.
0af7f50e278e37d370c02e3bfb8452da4673bc596c5191fac4ca773c217fd527,Anarchy is preferable to the rule of law.
0b304b7fd959c7ac1c0892a50578f9bbd7c2807012c1e78ed9ff6eff515c7b85,"""If the answer is nuclear you don’t understand the question"" http://evcricketenergy.wordpress.com/2013/01/01/if-the-answer-is-nuclear-you-dont-understand-the-question/"
0b50df8c4c5c64ef5da174e05a88bcdbf5826875f5772934d934b412faeebea0,We all breathe out carbon dioxide
0b5882acd7291bb8548fcd7231f80afff47c0238b3f20218f5c049bb97f64336,"Parents, not advertisers, are responsible for childhood obesity."
0b60317af75752b6118e7f5ab4427ffab357cc622014ae5ee7d8fd6f06d9381b,There is no reason for churches to take a hard-line approach to who gets married.
0b69582c0edba703027271247c41117647980be51acba6590c11e275b28cf3af,The Swiss franc is a very stable currency.
0c3df26806c01dd6be34afee5f5b9fadb4c0ee9eeabadd00d2a7d66e8dee9f9e,Archery and Ultimate frisbee have a similar levels of hazard severity / likelihood.
0c7b1eb58a43c12fa6ea2f2c44e3b302eba4f1258ec42734277f8e13afd9f8e2,"The concept of ""god"" doesn't play an essential explanatory or predictive role in our best scientific theories."
0cadab68ffdbbe566552dbe6fdb1116b5ef6e10ea383de198cd40bb3bb34c143,Carbon emissions contribute significantly to global warming
0d481a732bec25903247e88990c420762e874c2fd9343a51244163ba39cf306c,The lesser evil.
0d5942df22702efd74e0d4a309789f9f289ccadcb532cafae91e19c216db21ea,"The people, at this time, are neither suffieceintly engaged nor intelligent enough to contribute meaningfully to the political process unless they were given tools and processes to be engaged and intelligent"
0d9ffd21055e47c3e85c4ede321dcb0225a05fdea3d9d0f6bb742c43dced547c,Marriage is solely for the conception and protection of children
0db27e81923c0ab228677d75e31554e9d2ccbd7f8a6ee7a909f880050f6e26f5,Nuclear power is a good response to mitigating climate change in Australia.
0dbc554f299a2247a299d3aa70f4fbc6e05a627b41bc3ed2a0a490029327f290,Legalising marijuana would assist regulation of supply.
0de9aced2188d7d8dd63f678585f7e1bc4c72a18c1b622771dea67368eeb3042,Australia has a significant shortage of appropriately skilled people for the available jobs
0e0f45f5df714fd7a74d91460e6a4237817f8557281b5715db851df02352c9aa,"It is not clear that there is any such thing as ""general intelligence"". On the other hand, it is perfectly evident that, when given a specific task, some individuals perform better than others. It is therefore more useful and meaningful to talk about intelligence in the context of level of performance in a given task or activity than it is to talk about general intelligence."
0e226eeddbfc6284a1bf18127046751a7ce3b58de6aea2bee1d3b5da65f0fe38,"The degree of ""lock in"" for current social media (esp. Facebook) is (probably) overstated."
0e32cf74eb0c8876e4294471626ca949ea6e7f18ac22ed35d25b119310d79b0f,This is a claim
0e3dec23c6b0c75e9bd3495841b4dd47f642ae679a63206a26be52baed3fa840,People not smart enough to avoid junk food are also not smart enough to fully fund their lives.
0e6be77b4b8858b24b85848fea5787652eae6768568a840802170d1d8220664b,Marriage is ineffective at protecting children because it is voluntary. Child support laws are more effective because they apply even if the father refuses to marry the mother.
0eb6d785f7724b7b243749c07ad7ad987e370a743af5b46e181da45010d514fa,The preponderance of scientific evidence is wrong.
0ef552301721cdbf19d4a548eb4c3e59ba2192f9acdfc1c0432aa2f357a355a0,it is circular logic to state a claim is right because it is factually correr
0f0a5563824e5a3c3bb8841cbea90bca56d5d25a3ad25f7add41928346a1a581,Personal information is collected from us all the time.
0f4a3a9ff74fc49c676352fdb2073d98d5495d44ca95d695bb20ffa3d9f2c211,"Fat, sodium, and sugar are essential nutrients. Food that is high in fat, sodium, and sugar would be considered nutritious for people that have been deprived of them."
0f6c88d8e0bce8098dcc5af454928e510fb40cf53732f9e0dc6f373f8bf2b8e4,This delay has been unjust for hundreds of years
0f76e2f7fe6ac5c665db41ca5d5c2dc4ca993b5c98b88707ffb65874c2fb9f33,Natural resources are limited.
0f7801e0e9a10b488738cc3e68e04e997cb27bb72574478d0e08f28ce2e1bc26,Carbon tax will generate proceeds
0f979abce64dca83c96313bf524c8f6e527395a48079d2e4e1589497ca5f238c,Keeping passwords in the Reasonwell database would be a liability
